Data Entry Type	Customer Account	Display Name	Return Name	Owner	Amount Due	Due Date	Imported Data	Held Tax	Held Exempt	State	Additional Filing	Workflow	Reg ID	Legal Entity	Payment Type	Filing Type	Filing Frequency	Import Data Threshold	Threshold Amount	State Supports Prepayments	Client Has Prepayments	Country	Creation Date	Modified Date	Amended	Return ID	SST Status	Payment Status	Payment ID	Valid Return	Do Not File	Web File	Threshold	Workflow Condition	Printing Condition	Local Reg ID	Final Print Status	Manual Print
Automatic	PRANASTS	Prana Living LLC	RI T-204Q	MMulholland	22.88	20	22.88	No	No	RI		Filed	26187097700	PRANA	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/07/2023	01/12/2023	No	1269184		Transmitted	1291396	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	DNFSLLC	DANFOSS, LLC	RI T-204M	VKyazze	284.81	20	530.59	No	No	RI		Filed	58173454300	DANFOSS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/08/2023	01/12/2023	No	1269417		Transmitted	1291394	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	Columbia3	Columbia Brands USA  LLC	RI T-204Q	MBrown	655.73	20	655.73	No	No	RI		Filed	20033125700	COLUMBIASPORTS	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/08/2023	01/12/2023	No	1269552		Transmitted	1290293	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	LINDENSTS	Central National-Gottesman Inc.	RI T-204M	JHanron	8695.86	20	8695.86	No	No	RI		Filed	13042524600	LINDENMEYRMUNROE	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/08/2023	01/10/2023	No	1269949		Transmitted	1285647	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	GLOBOSTS	Globoforce, Inc	RI T-204M	JKeaney	7719.89	20	7719.89	No	No	RI		Filed	20873419400	GLOBOFORCE	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/12/2023	No	1270074		Transmitted	1290291	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	Amtrak	NATIONAL RAILROAD PASSENGER CORPORATION	RI T-204M	MMulholland	6509.86	20	6509.86	No	No	RI		Filed	52091005300	AMTRAK	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/16/2023	No	1270131		Transmitted	1295543	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	FLNTGRPSTS	DAY INTERNATIONAL INC	RI T-204M	MHeadden	0.00	20	0.00	No	No	RI		Filed	34165845801	DAYINTINC	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/12/2023	No	1270282		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	LINCSTS	Linc Systems, Inc	RI T-204M	MPicon	850.30	20	850.30	No	No	RI		Filed	35196241800	LINC	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/11/2023	No	1270386		Transmitted	1289760	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	oxusa	Chancellor Masters and Scholars - Univ of Oxford	RI T-204M	LRuiz	108.48	20	108.48	No	No	RI		Filed	98600106200	OUP1	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/12/2023	No	1270407		Transmitted	1291395	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	Wolfram	Wolfram Research, Inc.	RI T-204M	LPaul	385.57	20	385.57	No	No	RI		Filed	37126124800	WOLFRAM	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/12/2023	No	1270514		Transmitted	1290292	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	2015	Spectranetics LLC	RI T-204Q	RHardacre	0.00	20	0.00	No	No	RI		Filed	84099704900	Spectranetics	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/09/2023	01/11/2023	No	1270702		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	MINDRAY	MINDRAY DS USA, INC.	RI T-204M	MVanDingStee	728.46	20	728.46	No	No	RI		Filed	80016449700	MINDRAY	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/09/2023	01/11/2023	No	1270823		Transmitted	1289762	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	BURBRYSTS	Burberry Limited	RI T-204M	KSullivan	7077.95	20	7077.95	No	No	RI		Filed	209534102	US11	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/10/2023	01/13/2023	No	1270942		Transmitted	1293445	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	TOYOTIRES	TOYO TIRE U.S.A. CORP	RI T-204Q	MHeadden	0.00	20	0.00	No	No	RI		Filed	95245210201	TOYOTIRES	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/10/2023	01/12/2023	No	1271047		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	RISKMNGT	The Risk Management Association	RI T-204Q	RGonzalez	118.94	20	118.94	No	No	RI		Filed	23089236000	RISKMNGT	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/10/2023	01/11/2023	No	1271150		Transmitted	1286748	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	DOMINOSTS	Domino Amjet Inc	RI T-204Q	DChin	0.00	20	0.00	No	No	RI		Filed	20003285600	DOMINOSTS	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/10/2023	01/17/2023	No	1271216		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	DIGIRADSTS	Digirad Corporation	RI T-204Q	ZStevens	271.26	20	271.26	No	No	RI		Filed	33014572300	DIGICORP	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/11/2023	01/13/2023	No	1271265		Transmitted	1293905	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	VWGASTS	Volkswagen Group of America  Inc	RI T-204M	DKozloski	3089.78	20	3089.78	No	No	RI		Filed	22158583400	VWGAINC	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/11/2023	01/13/2023	No	1271300		Transmitted	1293903	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	EBAUERSTS	Pacific Sunwear LLC	RI T-204M	DChin	821.71	20	821.71	No	No	RI		Filed	330805792 00	PACSUN	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/11/2023	01/17/2023	No	1271632		Transmitted	1295868	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	Ultradent	Ultradent Products, Inc.	RI T-204M	VKyazze	2072.79	20	2072.79	No	No	RI		Filed	87033695700	ULTRADENT	ELECTRONIC	Standard	Monthly	Yes	20.00	No	No	US	01/12/2023	01/16/2023	No	1271889		Transmitted	1295384	Yes	No	Yes	Above	Normal	Normal		NOT READY N/A	No
Automatic	AGMSTS	Architectural Granite and Marble, LLC	RI T-204M	LPaul	821.45	20	0.00	No	No	RI		Filed	47422824000	ASG	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/12/2023	01/16/2023	No	1272053		Transmitted	1295628	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	FASTNLSTS	Fastenal Company	RI T-204M	ASapossnek	5148.66	20	5148.66	No	No	RI		Filed	41094841500	FASTENAL	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/12/2023	01/18/2023	No	1272184		Transmitted	1296296	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	EXCELITAS	Excelitas Technologies Corp	RI T-204M	FGambande	0.00	20	0.00	No	No	RI		Filed	61162464900	EXCELTECH	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/13/2023	01/17/2023	No	1272355		Not Transmitted	0	Yes	No	No	None	Normal	Normal		TRANSMITTED	No
Automatic	KVODNTL	KaVo Dental Technologies LLC	RI T-204Q	DObrien1	45.64	20	45.64	No	No	RI		Filed	27121278300	KAVO8010	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/16/2023	01/19/2023	No	1272508		Transmitted	1296488	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
